자치구,관서명,주소,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거
강남구,"서울강남경찰서, 서울수서경찰서","서울 강남구 대치동 998, 서울 강남구 개포동 14",13,10,21,18,449,349,3850,1650,4284,3705
강동구,서울강동경찰서,서울 강동구 성내동 541-1,4,3,6,8,156,123,2366,789,2712,2248
강북구,서울강북경찰서,서울 강북구 번동 415-15,7,8,14,13,153,126,1434,618,2649,2348
강서구,서울강서경찰서,서울 강서구 화곡동 980-27,7,8,13,13,262,191,2096,1260,3207,2718
관악구,서울관악경찰서,서울 관악구 봉천동 1695-5,9,8,12,14,320,221,2706,827,3298,2642
광진구,서울광진경찰서,서울 광진구 구의동 254-32,4,4,14,26,240,220,3026,1277,2625,2180
구로구,서울구로경찰서,서울 구로구 구로동 3-25,8,6,15,11,281,164,2335,889,3007,2432
금천구,서울금천경찰서,서울 금천구 시흥동 1030,3,4,6,6,151,122,1567,888,2054,1776
노원구,서울노원경찰서,서울 노원구 하계동 250,10,10,7,7,197,121,2193,801,2723,2329
도봉구,서울도봉경찰서,서울 도봉구 창동 17,3,3,9,10,102,106,1063,478,1487,1303
동대문구,서울동대문경찰서,서울 동대문구 청량리동 229,5,5,13,13,173,146,1981,814,2548,2227
동작구,서울동작경찰서,서울 동작구 노량진동 72-35,5,5,9,5,285,139,1865,661,1910,1587
마포구,서울마포경찰서,서울 마포구 아현동 618-1,8,8,14,10,294,247,2555,813,2983,2519
서대문구,서울서대문경찰서,서울 서대문구 충정로3가 63-1,2,2,5,4,154,124,1812,738,2056,1711
서초구,"서울서초경찰서, 서울방배경찰서","서울 서초구 서초동 1726-1, 서울 서초구 방배동 455-10",8,6,9,6,393,249,2635,1091,2399,2098
성동구,서울성동경찰서,서울 성동구 행당동 192-8,4,4,9,8,126,119,1607,597,1612,1395
성북구,"서울성북경찰서, 서울종암경찰서","서울 성북구 삼선동5가 301, 서울 성북구 종암동 3-1260",5,5,5,4,150,124,1785,741,2209,1855
송파구,서울송파경찰서,서울 송파구 가락동 9,11,10,13,10,220,178,3239,1129,3295,2786
양천구,서울양천경찰서,서울 양천구 신정동 321,3,5,6,3,120,105,1890,672,2509,2030
영등포구,서울영등포경찰서,서울 영등포구 당산동3가 2-11,14,12,22,20,295,183,2964,978,3572,2961
용산구,서울용산경찰서,서울 용산구 원효로1가 12-12,5,5,14,14,194,173,1557,587,2050,1704
은평구,"서울서부경찰서, 서울은평경찰서","서울 은평구 녹번동 177-15, 서울 은평구 불광동 산 24",3,3,9,6,166,141,1914,711,2653,2306
종로구,"서울종로경찰서, 서울혜화경찰서","서울 종로구 공평동 1, 서울 종로구 숭인동 165",6,5,11,9,211,161,2184,837,2293,1931
중구,"서울중부경찰서, 서울남대문경찰서","서울 중구 회현동1가 210, 서울 중구 남대문로5가 561",3,2,9,6,170,111,2548,859,2224,1964
중랑구,서울중랑경찰서,서울 중랑구 신내동 810,13,12,11,9,187,148,2135,829,2847,2407
